               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,             0.12899,            0.055216,           0.0099769,              0.4685,              0.2874,               0.269,             0.10472,             0.11902,            0.037286,             0.01472,           0.0089506,           0.0089506,           0.0089506
                 108,             0.12924,            0.056172,            0.010054,             0.48436,             0.28437,             0.26969,             0.10521,             0.11898,            0.037314,            0.014702,           0.0089407,           0.0089407,           0.0089407
                 109,             0.12887,            0.055724,            0.010096,             0.47322,             0.28749,             0.27044,             0.10533,             0.11893,            0.037305,            0.014674,           0.0089308,           0.0089308,           0.0089308
                 110,             0.12924,            0.056151,           0.0098466,             0.48287,             0.28551,             0.27132,             0.10561,             0.11889,              0.0373,            0.014648,           0.0089209,           0.0089209,           0.0089209
                 111,             0.12914,            0.055778,            0.010239,             0.49364,             0.28449,             0.27255,             0.10602,             0.11884,            0.037325,            0.014634,            0.008911,            0.008911,            0.008911
                 112,             0.12883,            0.056047,            0.010043,             0.50274,              0.2817,             0.27314,             0.10627,              0.1188,            0.037327,            0.014618,           0.0089011,           0.0089011,           0.0089011
                 113,             0.12899,            0.055636,            0.011319,             0.51697,             0.27927,             0.27401,             0.10657,             0.11876,            0.037362,             0.01461,           0.0088912,           0.0088912,           0.0088912
                 114,             0.12982,            0.055547,            0.010881,             0.47397,             0.29141,             0.27416,             0.10682,             0.11874,            0.037397,            0.014612,           0.0088813,           0.0088813,           0.0088813
                 115,             0.12892,            0.056046,           0.0099723,             0.48423,             0.28876,             0.27407,             0.10706,             0.11872,            0.037411,            0.014614,           0.0088714,           0.0088714,           0.0088714
                 116,             0.12907,            0.055476,             0.01025,             0.49531,             0.28706,             0.27458,             0.10743,             0.11868,            0.037441,            0.014591,           0.0088615,           0.0088615,           0.0088615
                 117,             0.12874,            0.055593,           0.0098356,             0.49706,             0.28661,             0.27531,             0.10752,             0.11864,            0.037441,             0.01458,           0.0088516,           0.0088516,           0.0088516
                 118,             0.12865,            0.056059,            0.010124,             0.46293,             0.29577,             0.27556,             0.10791,              0.1186,            0.037459,            0.014556,           0.0088417,           0.0088417,           0.0088417
                 119,             0.12919,             0.05533,            0.010241,             0.49517,             0.28817,             0.27591,             0.10811,             0.11856,            0.037487,            0.014537,           0.0088318,           0.0088318,           0.0088318
                 120,              0.1283,            0.055619,              0.0099,             0.49526,             0.28911,             0.27608,              0.1085,             0.11851,             0.03747,            0.014515,           0.0088219,           0.0088219,           0.0088219
